지역,구군,지역코드,주소,중심점X,중심점Y,경도,위도,건축년도,건물연령,연령대,노후등급,노후점수,겹침비율,홍수등급,홍수점수,산사태거리,산사태등급,산사태점수,노후홍수점수,노후홍수등급,노후홍수코드,홍수산사태점수,홍수산사태등급,홍수산사태코드,노후산사태점수,노후산사태등급,노후산사태코드,종합점수,종합등급,위험코드
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 태평동 1 일반 5-5 32049 1 일반건축물,212701.421871666,358812.3966577982,212701.421871666,358812.3966577982,1989.0,37.0,30-50년,노후,5,0.0,없음,0,842.0213774008353,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 서노송동 1 일반 650-1 32054 1 일반건축물,212982.1878313409,358876.8939367936,212982.1878313409,358876.8939367936,1980.0,46.0,30-50년,노후,5,0.0,없음,0,1075.6393447619885,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 효자동1가 1 일반 664-7 32060 1 일반건축물,210359.5516062264,355794.73061611695,210359.5516062264,355794.73061611695,1996.0,30.0,30-50년,노후,5,100.0,매우높음,4,567.5385449465084,안전,0,9,위험,E,4,관심,B,5,주의,C,9,경고,D
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 중화산동2가 1 일반 610-1 32063 1 일반건축물,210795.0624610009,357842.00977083825,210795.0624610009,357842.00977083825,1995.0,31.0,30-50년,노후,5,0.0,없음,0,635.6099432828282,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 중화산동2가 1 일반 577-3 32064 1 일반건축물,210928.8862862433,358170.642951382,210928.8862862433,358170.642951382,1996.0,30.0,30-50년,노후,5,0.0,없음,0,430.0,관심,1,5,주의,C,1,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 서서학동 1 일반 346-20 32065 1 일반건축물,213294.54741393353,355977.0395089673,213294.54741393353,355977.0395089673,1978.0,48.0,30-50년,노후,5,0.0,없음,0,110.45361017187261,주의,2,5,주의,C,2,안전,A,7,경고,D,7,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 서서학동 1 일반 286-15 32066 1 일반건축물,213543.34987045085,356139.4950954071,213543.34987045085,356139.4950954071,1981.0,45.0,30-50년,노후,5,0.0,없음,0,22.360679774997898,매우위험,4,5,주의,C,4,관심,B,9,위험,E,9,경고,D
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 다가동2가 1 일반 54-4 32068 1 일반건축물,212802.48394850743,357350.8042371962,212802.48394850743,357350.8042371962,1980.0,46.0,30-50년,노후,5,0.0,없음,0,298.328677803526,관심,1,5,주의,C,1,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 동서학동 1 일반 849-37 32071 1 일반건축물,214454.06545584125,356796.17890328064,214454.06545584125,356796.17890328064,1978.0,48.0,30-50년,노후,5,0.0,없음,0,180.27756377319946,주의,2,5,주의,C,2,안전,A,7,경고,D,7,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 중화산동1가 1 일반 214-19 32073 1 일반건축물,212337.1128061534,357954.62036636606,212337.1128061534,357954.62036636606,1971.0,55.0,50-100년,고령,6,0.0,없음,0,28.284271247461902,매우위험,4,6,주의,C,4,관심,B,10,위험,E,10,경고,D
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 서신동 1 일반 824 32074 1 일반건축물,210218.74300567823,359153.6157294088,210218.74300567823,359153.6157294088,1994.0,32.0,30-50년,노후,5,0.0,없음,0,737.5635565834309,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 교동 1 일반 39-2 32075 1 일반건축물,214030.44123982164,357202.7454471457,214030.44123982164,357202.7454471457,1989.0,37.0,30-50년,노후,5,0.0,없음,0,70.71067811865476,위험,3,5,주의,C,3,관심,B,8,경고,D,8,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 삼천동1가 1 일반 580-21 32077 1 일반건축물,210732.31523186847,355961.9363234653,210732.31523186847,355961.9363234653,1985.0,41.0,30-50년,노후,5,0.0,없음,0,911.3725912051558,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 색장동 1 일반 841-4 32079 1 일반건축물,217891.10200110893,353782.4783932666,217891.10200110893,353782.4783932666,1992.0,34.0,30-50년,노후,5,0.0,없음,0,78.10249675906654,위험,3,5,주의,C,3,관심,B,8,경고,D,8,주의,C
